"Season","Episode","Name","Rating","Raters","Synopsis","Air-date"
"1","1","The One Where Monica Gets a Roommate","8.6","3,308","Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.","22 Sep. 1994"
"1","2","The One with the Sonogram at the End","8.2","2,270","Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.","29 Sep. 1994"
"1","3","The One with the Thumb","8.3","2,114","Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.","6 Oct. 1994"
"1","4","The One with George Stephanopoulos","8.3","2,041","Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.","13 Oct. 1994"
"1","5","The One with the East German Laundry Detergent","8.5","2,002","Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.","20 Oct. 1994"
"1","6","The One with the Butt","8.3","1,954","Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.","27 Oct. 1994"
"1","7","The One with the Blackout","9.0","2,540","When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.","3 Nov. 1994"
"1","8","The One Where Nana Dies Twice","8.2","1,883","Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.","10 Nov. 1994"
"1","9","The One Where Underdog Gets Away","8.3","1,830","The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.","17 Nov. 1994"
"1","10","The One with the Monkey","8.1","1,848","The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.","15 Dec. 1994"
"1","11","The One with Mrs. Bing","8.3","1,828","Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.","5 Jan. 1995"
"1","12","The One with the Dozen Lasagnas","8.3","1,789","Rachel and Paolo's relationship hits a snag after he gropes Phoebe. Ross has a hard time not knowing the sex of his and Carol's baby. Joey and Chandler get a foosball table.","12 Jan. 1995"
"1","13","The One with the Boobies","8.7","1,914","Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.","19 Jan. 1995"
"1","14","The One with the Candy Hearts","8.4","1,750","As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.","9 Feb. 1995"
"1","15","The One with the Stoned Guy","8.4","1,807","Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.","16 Feb. 1995"
"1","16","The One with Two Parts: Part 1","8.3","1,779","Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.","23 Feb. 1995"
"1","17","The One with Two Parts: Part 2","8.5","1,794","Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.","23 Feb. 1995"
"1","18","The One with All the Poker","8.9","2,034","As Rachel interviews for a new job, the girls take on the guys in a game of poker.","2 Mar. 1995"
"1","19","The One Where the Monkey Gets Away","8.2","1,692","The gang frantically search for Ross's monkey Marcel after Rachel loses him.","9 Mar. 1995"
"1","20","The One with the Evil Orthodontist","8.0","1,699","The gang become annoyed after they discover someone is spying on them from the building across the street. Rachel and Barry start dating again, even though he is engaged to Mindy. Chandler goes crazy when a girl he likes doesn't return his phone calls.","6 Apr. 1995"
"1","21","The One with the Fake Monica","8.0","1,715","Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.","27 Apr. 1995"
"1","22","The One with the Ick Factor","8.4","1,689","Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.","4 May 1995"
"1","23","The One with the Birth","8.7","1,783","As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.","11 May 1995"
"1","24","The One Where Rachel Finds Out","8.9","1,907","As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.","18 May 1995"
"10","1","The One After Joey and Rachel Kiss","8.5","1,452","Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.","25 Sep. 2003"
"10","2","The One Where Ross Is Fine","8.8","1,566","Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.","2 Oct. 2003"
"10","3","The One with Ross's Tan","8.8","1,535","Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.","9 Oct. 2003"
"10","4","The One with the Cake","8.4","1,266","On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.","23 Oct. 2003"
"10","5","The One Where Rachel's Sister Babysits","8.3","1,289","Rachel's sister Amy comes to visit and moves in with her and Joey. Monica and Chandler let Joey write a letter of recommendation for them for the adoption agency. Phoebe accidentally ruins Mike's proposal.","30 Oct. 2003"
"10","6","The One with Ross' Grant","8.3","1,299","Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.","6 Nov. 2003"
"10","7","The One with the Home Study","8.4","1,213","Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.","13 Nov. 2003"
"10","8","The One with the Late Thanksgiving","8.9","1,506","Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.","20 Nov. 2003"
"10","9","The One with the Birth Mother","8.5","1,288","After Rachel confirms Joey is more mature in relationships, Phoebe presents him to another friend as date, Sarah, who fails alas to respect his primordial rule by touching food in his plate. Ross wants fashion advice for his date, so Rachel and Phoebe take him shopping, but after he left the choosing to professional buyer Rachel he accidentally ends up wearing her stuff, despite Joey's 'jealous' warning. Monica let the gang get her hopes up when Chandler and she fly to on adoption agency in Ohio. The pregnant mother, Erica, likes them- but only because their files got...","8 Jan. 2004"
"10","10","The One Where Chandler Gets Caught","8.1","1,222","Chandler and Monica have decided they want to raise their offspring in a suburb house, and even find a perfect one in Westchester. Rachel and Phoebe see Chandler enter the house with his realtor Nancy, and think he's cheating with her on Monica. After that misunderstanding is cleared, the other Friends are shocked the couple wants to leave Manhattan, and everybody starts reminiscing about living in New York as a gang, till Nancy calls about their bid on the house...","15 Jan. 2004"
"10","11","The One Where the Stripper Cries","9.0","1,763","Phoebe's bachelorette party has no strippers, and Phoebe wanted one. So Rachel and Monica find a stripper, but he has to be at least 50 years old. Joey appears on ""Pyramid."" Chandler and Ross go to a college reunion, and they recall what they did in 1987. Chandler tells Ross that he kissed Rachel at a party and Ross gets upset with Chandler because that was the night he kissed Rachel for the first time. It turns out that Ross didn't kiss Rachel that night, that he really kissed Monica.","5 Feb. 2004"
"10","12","The One with Phoebe's Wedding","8.8","1,415","Monica is driving Phoebe insane as she plans Phoebe's wedding. At the rehearsal dinner, Phoebe gets really upset with Monica and fires her. The next day, Phoebe is going through hell doing Monica's job. Chandler and Ross find out that they are not included in the wedding and when one of Mike's groomsmen can't make it, Mike lets Phoebe decide who should take the role. Phoebe passes the decision to bridesmaid Rachel however Mike makes his dog, Chappy, the missing groomsman. Joey is playing Phoebe's dad during the ceremony, and he takes it too seriously. There is a giant...","12 Feb. 2004"
"10","13","The One Where Joey Speaks French","8.6","1,414","Ross accompanies Rachel to Long Island after Rachel's father has a heart attack. Rachel wants to have sex with Ross but he rejects her and they make a promise never to sleep together again. Erica comes to town and Monica and Chandler find out that the baby's father might be a shovel killer. Phoebe, back from her honeymoon helps Joey prepare for an audition by teaching him how to speak french. Joey does not progress well, even on the first line, and Phoebe says he will never learn french, and running out on their lessons.","19 Feb. 2004"
